challenge,bucket1,bucket2,bucket3,bucket4,bucket5,spot1,spot2,spot3,spot4,spot5,spot6,spot7,spot8,spot9,spot10,,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
1,0,5,0,2,1,O,,M,B,Y,M,,O,B,B,,O,M,M,B,Y,M,Y,O,B,B
2,0,3,1,4,0,O,,B,M,B,B,M,,M,Y,,O,Y,B,M,B,B,M,O,M,Y
3,1,1,1,5,0,B,Y,O,,B,,B,M,M,,,B,Y,O,M,B,O,B,M,M,Y
4,0,1,5,1,1,,M,,Y,O,,B,Y,B,B,,M,M,O,Y,O,M,B,Y,B,B
5,0,4,0,3,1,O,,,,Y,M,M,B,B,B,,O,M,Y,O,Y,M,M,B,B,B
6,0,2,4,1,1,O,M,,,M,B,Y,Y,,B,,O,M,M,O,M,B,Y,Y,B,B
7,0,2,3,3,0,,M,O,B,,,B,B,Y,Y,,O,M,O,B,M,M,B,B,Y,Y
8,1,2,3,1,1,B,M,,Y,,O,,B,O,M,,B,M,B,Y,Y,O,M,B,O,M
9,1,2,2,1,2,B,,M,M,,Y,B,B,,O,,B,Y,M,M,O,Y,B,B,M,O
10,1,2,2,2,1,,,M,M,B,O,M,,Y,B,,Y,O,M,M,B,O,M,B,Y,B
11,0,5,1,1,1,O,,Y,,,,M,O,B,B,,O,M,Y,Y,B,M,M,O,B,B
12,0,1,5,2,0,,M,,B,O,,B,Y,B,,,M,M,O,B,O,M,B,Y,B,Y
13,0,2,2,4,0,O,,,,M,B,Y,,M,Y,,O,B,B,O,M,B,Y,M,M,Y
14,0,1,4,2,1,M,,Y,,M,M,B,B,,,,M,O,Y,Y,M,M,B,B,O,B
15,1,2,2,0,3,B,,B,M,,Y,M,Y,,,,B,M,B,M,B,Y,M,Y,O,O
16,0,3,1,3,1,,M,,,B,M,Y,O,,B,,O,M,B,Y,B,M,Y,O,M,B
17,0,2,3,2,1,,B,Y,,M,M,,B,,B,,O,B,Y,Y,M,M,O,B,M,
18,2,1,2,2,1,,Y,,M,B,O,M,,,B,,M,Y,B,M,B,O,M,Y,O,B
19,1,2,2,2,1,B,O,,,,M,Y,M,,B,,B,O,O,B,M,M,Y,M,Y,B
20,0,2,1,5,0,M,M,,,B,,B,M,,,,M,M,O,Y,B,O,B,M,B,Y
21,0,2,5,0,1,O,O,B,,,B,,,Y,,,O,O,B,M,M,B,M,Y,Y,B
22,0,2,1,4,1,,M,O,,,,,M,B,,,O,M,O,Y,B,M,Y,M,B,B
23,0,1,4,3,0,,,B,Y,O,M,,,,Y,,M,O,B,Y,O,M,B,B,M,Y
24,1,2,0,2,3,,Y,B,O,Y,,O,,,,,B,Y,B,O,Y,M,O,B,M,M
25,0,2,2,3,1,,,,M,M,B,Y,,Y,,,M,O,B,M,M,B,Y,O,Y,B
26,1,1,3,1,2,M,,,,B,Y,M,Y,,,,M,B,O,B,B,Y,M,Y,O,M
27,1,1,2,2,2,,,Y,M,M,B,,M,,,,B,B,Y,M,M,B,Y,M,O,O
28,1,2,2,2,1,,M,O,O,,B,B,,,,,Y,M,O,O,Y,B,B,B,M,M
29,0,3,0,5,0,,M,B,,,,,O,,Y,,O,M,B,Y,B,M,B,O,M,Y
30,0,1,5,0,2,,,,,,B,B,Y,B,,,M,O,Y,M,M,B,B,Y,B,O
